Process Time [min],Average emission wavelength [nm],Integral,missing,diff_AEW_raw,diff_AEW_sgol,diff_AEW_loess,AEW_adapted,dAEW_adapted
102.51669999999999,335.8176976098468,164534.6255,,0.10606194688845556,0.10794200562292496,0.1205556927568665,335.7950005598073,-1.0111329495055656
104.0833,335.8125357412131,164508.1315,,0.19769699860997605,0.10944107228740309,0.09558479394532604,335.7898386911736,-1.0162948181392721
105.66669999999999,335.8150366724431,164597.5455,,0.0,0.018722002457504383,0.07193295507561714,335.79233962240363,-1.0137938869092409
107.23329999999999,335.8123430663392,164698.161,,0.10316377264992699,0.04825709739335242,0.08715811149815522,335.78964601629974,-1.0164874930131305
108.8167,335.8072526711303,164481.252,,0.19289106513544016,0.03898944157991076,0.0,335.7845556210908,-1.0215778882220548
110.39999999999999,335.8131793161155,164294.264,,0.0,0.08490270680710893,0.0,335.790482266076,-1.0156512432368459
111.9667,335.8054266666441,164166.5855,,0.29690366265651175,0.16557450724100745,0.0,335.7827296166046,-1.0234038927082452
111.9667,335.806186809828,156712.999,,0.0,0.0,0.0,335.7827296166046,-1.0234038927082452
113.55003,335.7908294308867,156859.2815,,0.581965058754762,0.19117641214988526,0.0,335.7673722376633,-1.0387612716495482
115.11670000000001,335.7956929174678,156775.8375,,0.0,0.13636488565603216,0.0,335.77223572424447,-1.0338977850684046
116.70003,335.7864030355556,156580.4215,,0.35203837149030276,0.10542741529308247,0.0,335.7629458423323,-1.0431876669806002
118.28337,335.7844110249602,156506.99,,0.07548639946248942,0.05605142376762234,0.019595680157294737,335.76095383173686,-1.0451796775760158
119.86670000000001,335.7910332212433,156505.897,,0.0,0.06843291703339956,0.014658661095779735,335.76757602801996,-1.0385574812929121
121.43337,335.7856350652159,156391.1845,,0.2067374505445691,0.01986939119080351,0.06781601373988622,335.76217787199255,-1.0439556373203231
123.0167,335.7817307637301,156243.523,,0.14795278883686913,0.027946209839639812,0.12506185644019752,335.75827357050673,-1.0478599388061411
124.5834,335.7772030237906,156219.439,,0.17339911684979875,0.0,0.027917076582944844,335.75374583056725,-1.0523876787456174
126.1667,335.7879872748285,156223.621,,0.0,0.0,0.0,335.76453008160513,-1.0416034277077415
127.75,335.7847578694904,156200.973,,0.12238004186424761,0.0,0.0,335.76130067626707,-1.0448328330458025
129.3167,335.7868550023675,156222.313,,0.0,0.0014748478649665726,0.056476216193402706,335.7633978091441,-1.0427357001687483
130.8834,335.7776924618692,156194.6365,,0.35089834039445433,0.018196412313783716,0.07712790272972825,335.75423526864586,-1.0518982406670148
132.45,335.7838127807208,156212.8265,,0.0,0.04965969039066212,0.05431738010611009,335.76035558749743,-1.0457779218154428
134.0334,335.780078365865,156214.4025,,0.14150870995774698,0.08668802937396099,0.008350652537444603,335.75662117264164,-1.0495123366712278
135.6167,335.7776910560806,156258.687,,0.09046838063829743,0.09935121857657087,0.02117518873666313,335.75423386285723,-1.051899646455638
137.1834,335.7797789094874,156251.852,,0.0,0.19699850952402617,0.13078492430986444,335.75632171626404,-1.049811793048832
138.75,335.7691045578234,156149.715,,0.4088223540392693,0.20577826598810323,0.31774887504525395,335.7456473646001,-1.0604861447127973
