Process Time [min],Average emission wavelength [nm],Integral,#Empty,diff_AEW_raw,diff_AEW_sgol,diff_AEW_loess,AEW_adapted,dAEW_adapted
44.25,335.9705086604363,439488.5600000001,,0.4194119857752073,0.2637374598900692,0.31964110585371025,335.9705086604363,-0.6685977231605307
45.55,335.9591655571811,438044.415,,0.5235278425463841,0.21225518427924164,0.25979351025974884,335.9591655571811,-0.6799408264157023
46.8667,335.9552284955519,436664.025,,0.1794058614348422,0.1643352782733164,0.20485137838351955,335.9552284955519,-0.6838778880448899
48.1833,335.9714447504736,435939.7,,0.0,0.16326011101148286,0.16635614503344698,335.9714447504736,-0.6676616331232026
49.4833,335.952245271156,435534.84,,0.886129814658106,0.27144194483990663,0.22574779971047576,335.952245271156,-0.6868611124407948
50.8,335.9505694331013,434091.1,,0.0763653704590136,0.3784724419739722,0.3184297176641767,335.9505694331013,-0.6885369504955179
52.0833,335.9301085271809,432907.74,,0.9566386310481546,0.4098905105590481,0.4036929451165463,335.9301085271809,-0.7089978564159196
53.4,335.930056141303,431796.89,,0.0023871441282003764,0.3562892062817698,0.349138343570505,335.930056141303,-0.709050242293813
54.7,335.9218612188404,430656.675,,0.37822719058252674,0.24202588053181648,0.2708842540495766,335.9218612188404,-0.7172451647564344
56.0167,335.921164021629,429527.0100000001,,0.03177020785445786,0.14349022220419644,0.22988610329516648,335.921164021629,-0.7179423619678005
57.3167,335.9163935009945,428473.645,,0.22017787543885592,0.23880146801144567,0.20262599184295027,335.9163935009945,-0.722712882602309
58.6167,335.9092800262697,427709.39,,0.32831421806786854,0.23245991707169086,0.233420344908114,335.9092800262697,-0.7298263573271129
59.9167,335.9022692440908,426399.27,,0.3235745621028548,0.2940851519185216,0.27069732917651024,335.9022692440908,-0.736837139506008
61.2167,335.8983283465114,425421.0649999999,,0.18188758058823365,0.27626084279397317,0.27270121460807206,335.8983283465114,-0.7407780370854198
62.5167,335.8920988511754,424722.645,,0.28751516935454685,0.2793156428313549,0.26574984324894046,335.8920988511754,-0.7470075324214349
63.8333,335.885362005832,423850.0600000001,,0.3070110288638319,0.2135891099303971,0.2377702571756841,335.885362005832,-0.7537443777648036
65.1167,335.885458075581,422783.78,,0.0,0.1805415116781983,0.20504488702823664,335.885458075581,-0.7536483080157836
66.4333,335.87378995591,421794.1,,0.531738705955398,0.14128272245747986,0.16644317016958762,335.87378995591,-0.7653164276867983
67.7333,335.8755148944536,420967.065,,0.0,0.1339940029017539,0.1401929452393489,335.8755148944536,-0.7635914891432094
69.05,335.8741681073209,419915.53,,0.06137102450298279,0.1714400773465752,0.16249539061032436,335.8741681073209,-0.7649382762759274
70.35,335.870213196747,418842.15,,0.18253433417979978,0.21734333003955608,0.19326239435772585,335.870213196747,-0.768893186849823
