Time,Average emission wavelength [nm],Integral,#Empty,diff_AEW_raw,diff_AEW_sgol,diff_AEW_loess,AEW_adapted,dAEW_adapted
63.816669999999995,335.9366278917209,229474.1015,,0.436441111051379,0.23526368217766427,0.4490460715673521,335.9366278917209,-0.749026646477887
65.38333,335.932822678693,229053.0905,,0.1457321829066009,0.179023438042364,0.28086660144112585,335.932822678693,-0.7528318595057613
66.96667,335.9388485969897,228760.354,,0.0,0.16303876166980638,0.10179174611775466,335.9388485969897,-0.7468059412090611
68.5333,335.9218029283036,228420.1315,,0.6528281222549169,0.1824098332137618,0.09423322892260444,335.9218029283036,-0.7638516098951982
70.1167,335.9278257370925,228494.7055,,0.0,0.09393337047217876,0.14787978230259746,335.9278257370925,-0.7578288011062568
71.7,335.9233577124767,228021.3205,,0.16931818161484372,0.11173446127957434,0.15531790610741858,335.9233577124767,-0.7622968257221032
73.2667,335.9154209703738,228155.1745,,0.30395386875048763,0.0695156927839415,0.15666016873613842,335.9154209703738,-0.7702335678249597
74.85,335.9124500939071,227655.732,,0.11258295206305974,0.018072833055187622,0.08052355847218706,335.9124500939071,-0.7732044442916504
76.41669999999999,335.9164375249604,227388.188,,0.0,0.07636322383246069,0.0,335.9164375249604,-0.7692170132384035
78,335.9210900713608,227489.3435,,0.0,0.19080613878899036,0.025344571974699193,335.9210900713608,-0.7645644668379532
79.5833,335.9110364533718,227304.326,,0.38098722878802876,0.1838278104708982,0.23596849188049873,335.9110364533718,-0.7746180848269546
81.1833,335.8952928664109,226856.9085,,0.5903845110346102,0.1962595439439539,0.37182061138020117,335.8952928664109,-0.7903616717878776
82.7667,335.8979813428741,226583.03,,0.0,0.17972719951422217,0.23098825982761895,335.8979813428741,-0.7876731953246576
84.35,335.8885936015895,226752.01,,0.3557534750695457,0.0989788903031856,0.0,335.8885936015895,-0.7970609366092845
85.91669999999999,335.8984798554001,226475.9425,,0.0,0.012818283174457122,0.06890876967963777,335.8984798554001,-0.7871746827986499
86.68336699999999,335.8950523071567,226877.488,,0.26824278938190305,0.17664256257743843,0.1143943591680987,335.8950523071567,-0.7906022310421008
88.26669999999999,335.8851164236134,226583.4125,,0.3765177714332297,0.14633233162914122,0.18158161165052888,335.8851164236134,-0.8005381145853789
89.83336999999999,335.8826298237545,226258.841,,0.09523128133858763,0.22525729678965561,0.1968584821996444,335.8826298237545,-0.803024714444291
91.41669999999999,335.8813722946319,226139.548,,0.047653835495965774,0.1701101479315732,0.15343574708951735,335.8813722946319,-0.8042822435668882
93.00003,335.8727654517713,225934.7085,,0.3261547318859148,0.0835146261241476,0.12027027364013065,335.8727654517713,-0.8128890864275036
94.5667,335.8681669078639,225499.653,,0.1761140728057903,0.0,0.08368122884250084,335.8681669078639,-0.817487630334881
96.14999999999999,335.8808343940921,225615.518,,0.0,0.028311255701564064,0.0,335.8808343940921,-0.8048201441066567
97.71669999999999,335.8660942551399,225468.748,,0.5645039491499368,0.060166662048129954,0.0,335.8660942551399,-0.8195602830588768
99.3,335.8798505531333,225595.3435,,0.0,0.0646500645602777,0.11096394983549374,335.8798505531333,-0.805803985065495
100.8667,335.8658893848387,225339.589,,0.5346716650769046,0.144983812729951,0.19001463169223598,335.8658893848387,-0.8197651533600947
102.43339999999999,335.8590123873397,225258.7305,,0.263368768710453,0.16853356368368735,0.15673491870592215,335.8590123873397,-0.8266421508590724
104.0334,335.8617983846587,225136.896,,0.0,0.07003847030426735,0.09898086383702775,335.8617983846587,-0.8238561535400777
105.6,335.8627392942416,224960.246,,0.0,0.054135507582900234,0.04026878642447684,335.8627392942416,-0.8229152439571976
